dataset_key,dataset,repeat,seed,candidate,candidate_index,validation_mccbest_threshold,test_mcc_at_validation_mccbest_threshold,validation_log_loss,validation_ece_10,validation_prob_mean,validation_prob_variance,validation_pos_rate,score_SoftMCC,score_MCC_best,score_F1_best,score_AUPRC,score_AUROC,score_Brier_neg,score_MCC_05
synth5,synth(5%),2,44,logreg_C1.0,1,0.1611161116111611,0.3659492551157453,0.1579790383674436,0.021929324212304157,0.05940717355525783,0.007660212868378687,0.05555555555555555,0.1709486183742807,0.44970023847854607,0.47619047619047616,0.41097385952164456,0.8554705882352942,-0.04163156636283522,0.31013613093903053
synth5,synth(5%),2,44,logreg_C10.0,2,0.12008303188534966,0.3606307015113713,0.15781151365844023,0.02232614110650134,0.05933747973042568,0.0076320082280310845,0.05555555555555555,0.17115299307123946,0.4491686719598139,0.47863247863247865,0.41104955677598876,0.8559529411764706,-0.04159088627036332,0.31013613093903053
synth5,synth(5%),2,44,hgb_d3,3,0.26530905752753986,0.5252592303430899,0.13924228534069122,0.013898822882213183,0.05805409118829723,0.015589793602693957,0.05555555555555555,0.30136886751371667,0.5445811486371709,0.5581395348837209,0.538231987762526,0.8908,-0.03577950718432373,0.4705269531335079
synth5,synth(5%),2,44,hgb_d6,4,0.34175762004406457,0.47950722011461955,0.13289880926054093,0.013633833473545695,0.05608571920895059,0.014945180308587703,0.05555555555555555,0.3175827515861122,0.5544899152380204,0.5454545454545454,0.5900794820116764,0.895,-0.03393877259830057,0.5197191965064278
synth5,synth(5%),3,45,logreg_C0.1,0,0.29074074074074074,0.20993091849601397,0.18193552189546294,0.02445753802607383,0.056479108145368696,0.009155343199294572,0.05555555555555555,0.13112080737334814,0.3162461160355826,0.3448275862068966,0.24947139669604076,0.8175411764705882,-0.04775862806622458,0.07013098674613823
synth5,synth(5%),3,45,logreg_C1.0,1,0.3450772200772201,0.23622041083303466,0.18071541130527963,0.01952936817918871,0.05639967284497022,0.00941253791292249,0.05555555555555555,0.13533587307943684,0.3265705952592206,0.345679012345679,0.25473533534148846,0.8152823529411765,-0.0475793837657332,0.12964074471043288
synth5,synth(5%),3,45,logreg_C10.0,2,0.34705882352941175,0.24232015747572203,0.1814304752225271,0.019302734264128117,0.05669544881656129,0.00970838038442912,0.05555555555555555,0.13687049598495055,0.30625659739551064,0.3434343434343434,0.25326224729912933,0.8103764705882353,-0.04767801910445723,0.14417788413390725
synth5,synth(5%),3,45,hgb_d3,3,0.35520491388044484,0.4019020439509544,0.1457616802897836,0.007658155413951403,0.05289208838879052,0.010763407957884285,0.05555555555555555,0.252585200854877,0.5197191965064278,0.4935064935064935,0.5096311069814379,0.8713647058823529,-0.03734052172580029,0.45863788157074264
synth5,synth(5%),3,45,hgb_d6,4,0.40097826086956495,0.49517597397212765,0.14619587299305062,0.015413170753347343,0.05350779655949592,0.012686706543572006,0.05555555555555555,0.27310006215359706,0.5197191965064278,0.4772727272727273,0.5045109811243214,0.8635999999999999,-0.037004045534589254,0.43989196569155253
synth5,synth(5%),4,46,logreg_C0.1,0,0.1192630927561621,0.3946842009889918,0.22956730031120326,0.013599857349318118,0.05473066630245138,0.006983396053432504,0.05555555555555555,0.12532958659500587,0.32839478871459266,0.35443037974683544,0.27329511932837597,0.8032235294117647,-0.04639364732330971,0.17765404464678666
synth5,synth(5%),4,46,logreg_C1.0,1,0.10442507542742205,0.3629136875251053,0.23135092656576736,0.0171132446520118,0.053729640065213954,0.006680200512344713,0.05555555555555555,0.12261581541493706,0.32809700771445,0.35526315789473684,0.27571199983361033,0.7931764705882353,-0.046486566974279456,0.17765404464678666
synth5,synth(5%),4,46,logreg_C10.0,2,0.10458839406207826,0.3629136875251053,0.2312683449457044,0.01609618431637183,0.05384181350747375,0.006769397481723237,0.05555555555555555,0.12385004579993296,0.32809700771445,0.35294117647058826,0.2815624969836246,0.7934117647058823,-0.04643528322715224,0.17765404464678666
synth5,synth(5%),4,46,hgb_d3,3,0.47658568524856226,0.6117905755979589,0.2045140657899581,0.00816031364329454,0.05885145840317023,0.014048054677981136,0.05555555555555555,0.2565374089110216,0.45042330363890415,0.45977011494252873,0.46695989993733295,0.8275999999999999,-0.038868806190721465,0.4651988035646329
synth5,synth(5%),4,46,hgb_d6,4,0.16847826086956522,0.5097561135404933,0.1521627889016451,0.01146503070663939,0.05904465241697016,0.015691638701027102,0.05555555555555555,0.2823237451212656,0.47576427000162835,0.5043478260869565,0.4988635544466437,0.8338941176470587,-0.037686688223335034,0.45704526507945664
synth5,synth(5%),5,47,logreg_C0.1,0,0.08824613117170228,0.2423450322195813,0.1821168486551398,0.018889473534310513,0.05527185071540489,0.008135032022347005,0.05555555555555555,0.16485280611253564,0.40458741255472497,0.42748091603053434,0.34091920671521975,0.8824000000000001,-0.04334651606821903,0.09934646294640047
synth5,synth(5%),5,47,logreg_C1.0,1,0.14884502923976667,0.284561742550209,0.18339263008243334,0.01285906318109687,0.05406933123057058,0.00755258831214237,0.05555555555555555,0.15991212100977067,0.4087459858216021,0.4424778761061947,0.3534230397773152,0.8777647058823528,-0.04345599397387474,0.09934646294640047
synth5,synth(5%),5,47,logreg_C10.0,2,0.15424834416010272,0.284561742550209,0.18313265081428193,0.011208396059455537,0.05444829273345412,0.00782116236304213,0.05555555555555555,0.16332772877700144,0.4087459858216021,0.4424778761061947,0.35737782085370284,0.8779411764705882,-0.04331391044373801,0.09934646294640047
