dataset_key,dataset,repeat,seed,metric,ranking,selected_candidate
synth5,synth(5%),9,51,MCC_05,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth5,synth(5%),10,52,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d6
synth5,synth(5%),10,52,MCC_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),10,52,F1_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),10,52,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),10,52,AUROC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),10,52,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),10,52,MCC_05,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth5,synth(5%),11,53,SoftMCC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),11,53,MCC_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),11,53,F1_best,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),11,53,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),11,53,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),11,53,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),11,53,MCC_05,logreg_C0.1>logreg_C1.0>logreg_C10.0>hgb_d6>hgb_d3,logreg_C0.1
synth1,synth(1%),0,42,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),0,42,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth1,synth(1%),0,42,F1_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),0,42,AUPRC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),0,42,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth1,synth(1%),0,42,Brier_neg,hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0>hgb_d3,hgb_d6
synth1,synth(1%),0,42,MCC_05,logreg_C0.1>logreg_C1.0>logreg_C10.0>hgb_d3>hgb_d6,logreg_C0.1
